location,date,avg,median,high,low,std,obs
PEPCO,2020-06-05,24.408316791666667,23.0066205,45.014555,12.695871,9.56385575066598,24
PEPCO,2020-06-06,19.153099291666667,19.978078500000002,27.955123,11.82306,5.347500752945925,24
PEPCO,2020-06-07,15.735948416666666,14.851724,22.365801,8.685122,4.483790110114558,24
PEPCO,2020-06-08,19.70758175,16.81062,38.93818,9.691787,9.120136848011622,24
PEPCO,2020-06-09,26.395170833333335,21.673077499999998,62.476761,11.493167,15.530358907748706,24
PEPCO,2020-06-10,24.00481470833333,22.9516205,45.573924,12.430924,9.846889179136296,24
PEPCO,2020-06-11,20.909551125,20.79271,31.312545,13.449686,5.150558276998544,24
PEPCO,2020-06-12,18.85041095833333,19.807853,27.489073,10.953645,5.549343829005846,24
PEPCO,2020-06-13,15.291420041666667,15.013328000000001,20.666288,9.983131,3.6545218098310173,24
PEPCO,2020-06-14,13.786090208333334,13.505544,19.481488,8.157881,3.383420323056498,24
PEPCO,2020-06-15,15.788004458333333,14.8545675,24.331344,8.953647,5.081950150784672,24
PEPCO,2020-06-16,17.186076125,17.5844935,25.706801,9.972253,5.2568828197958375,24
PEPCO,2020-06-17,18.122712791666668,18.4687615,25.353218,10.636161,5.122385305419536,24
PEPCO,2020-06-18,18.95246691666667,19.319876,28.219832,10.51876,5.915080635306987,24
PEPCO,2020-06-19,19.55117866666667,20.499448,29.680129,11.149338,6.312097116196574,24
PEPCO,2020-06-20,18.115753375,19.276526500000003,25.30683,10.779735,4.883691678806149,24
PEPCO,2020-06-21,17.01486591666667,17.626979,23.607379,9.597428,4.779180847984134,24
PEPCO,2020-06-22,21.569584000000003,19.7593705,38.912927,11.801626,8.518577155321692,24
PEPCO,2020-06-23,21.598102625,20.161087000000002,39.228438,11.346498,9.044978523231816,24
PEPCO,2020-06-24,19.378899125,19.609320500000003,28.076216,12.150276,4.950151356518331,24
PEPCO,2020-06-25,18.781039791666668,18.873005,26.307587,11.67986,4.771421078777804,24
PEPCO,2020-06-26,20.249127125,19.829585,35.230551,10.823961,7.323890818244662,24
PEPCO,2020-06-27,18.373824458333335,19.073876,27.614319,10.00523,6.098564313956309,24
PEPCO,2020-06-28,18.968271041666664,18.971344000000002,29.430642,10.35847,6.144404322826036,24
PEPCO,2020-06-29,23.392465833333333,20.7659655,43.120038,11.057995,10.318882243107849,24
PEPCO,2020-06-30,23.432436083333332,23.133327,41.077587,12.249352,8.503405921483012,24
PEPCO,2020-07-01,24.285214291666666,22.560791000000002,40.176591,13.656112,8.617512186422891,24
PEPCO,2020-07-02,25.411785166666665,24.312397500000003,48.82525,13.422325,10.252384502516154,24
PEPCO,2020-07-03,22.709993416666666,21.974904000000002,41.917623,10.899495,9.101209018738937,24
PEPCO,2020-07-04,21.617888458333336,22.112976,36.179937,10.71811,7.771366920134087,24
PEPCO,2020-07-05,24.467383666666667,22.088824,53.039856,10.711142,12.253476776277472,24
PEPCO,2020-07-06,27.578259041666666,24.917548500000002,57.932178,12.257023,14.01524843251762,24
PEPCO,2020-07-07,27.040929333333334,24.519236499999998,53.929613,13.451448,12.172647294973851,24
PEPCO,2020-07-08,30.918427583333337,24.618744,66.180475,15.064827,16.60713225223536,24
PEPCO,2020-07-09,26.79948525,25.1385395,50.844695,15.039795,10.362953284220048,24
PEPCO,2020-07-10,26.346733458333333,25.537228,42.579461,14.600958,8.995774127452494,24
PEPCO,2020-07-11,24.06993841666667,23.373499,38.54562,12.614618,8.848421156976887,24
PEPCO,2020-07-12,20.85372595833333,21.340045,31.89034,10.5657,6.925483067535956,24
PEPCO,2020-07-13,22.34373945833333,21.152789,38.981885,12.236148,8.145428657445688,24
